number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_bootstrap_type,params_border_count,params_depth,params_l2_leaf_reg,params_learning_rate,params_min_data_in_leaf,params_random_strength,params_scale_pos_weight,params_subsample,user_attrs_best_iteration,user_attrs_f1,user_attrs_f2,user_attrs_precision,user_attrs_recall,user_attrs_roc_auc,user_attrs_threshold,state
14,0.7138100639208187,2026-02-25 13:20:32.043941,2026-02-25 13:21:53.888738,0 days 00:01:21.844797,0.5007352520199178,Bayesian,251,6,1.5154701488855005,0.0323694839124847,64,2.0048105207048037,2.001840809155353,,3473,0.6450735859093327,0.785733826726757,0.49683616333591296,0.919383371240839,0.821525177850307,0.27569332921328527,COMPLETE
15,0.7131848758412075,2026-02-25 13:21:53.890127,2026-02-25 13:23:14.451959,0 days 00:01:20.561832,1.1650217644880667,Bayesian,146,6,1.197319565330567,0.03435952399082595,88,3.8827067456726323,2.2812198149503313,,3405,0.6471656003570897,0.7854893235863504,0.5003220760099384,0.91601381517985,0.8209247529154079,0.30733646373125395,COMPLETE
16,0.7132846631515227,2026-02-25 13:23:14.453397,2026-02-25 13:24:22.128741,0 days 00:01:07.675344,0.907441241505329,Bayesian,183,6,0.3048111053597157,0.0267741115546911,1,1.3451462652164845,2.2146847629268995,,2810,0.6404225516516867,0.7851204189980109,0.4899316872795464,0.9243534664307977,0.8210802554847545,0.2861241847925923,COMPLETE
17,0.7111017374269816,2026-02-25 13:24:22.130188,2026-02-25 13:25:37.121427,0 days 00:01:14.991239,0.4654263916125474,Bayesian,137,5,2.4069993160933487,0.010411619333489852,39,6.872511320877261,1.8058874478196454,,3995,0.6368602063524176,0.7846013615518272,0.48473383194016717,0.9281442169994103,0.8201329512927948,0.24508423203795793,COMPLETE
18,0.7140802793797063,2026-02-25 13:25:37.122793,2026-02-25 13:26:14.937876,0 days 00:00:37.815083,0.06824162481084761,Bayesian,176,7,0.6723004099808229,0.056848289673483626,66,4.599862088745185,2.842207033498861,,1174,0.647044847044847,0.7861235800990142,0.499701821184458,0.9176143543088198,0.8211641379678225,0.34938121915446857,COMPLETE
19,0.7133858650310886,2026-02-25 13:26:14.939512,2026-02-25 13:26:50.901745,0 days 00:00:35.962233,0.06139003259064768,Bayesian,167,7,0.42941109028827545,0.057045993924823235,81,4.828155512726715,2.878440852783405,,1103,0.6454803933183272,0.7853467287429552,0.49773900333439913,0.9179513099149187,0.8210563954716675,0.3490629108621916,COMPLETE
20,0.7103304531353554,2026-02-25 13:26:50.903232,2026-02-25 13:27:19.687084,0 days 00:00:28.783852,1.433438152801837,Bayesian,110,7,0.03505220574579008,0.050593183768398726,13,4.485582852144914,2.66376732899109,,860,0.649042789413671,0.7843890976080303,0.5040783034257749,0.9110437199898913,0.8199736482614778,0.3524599550345312,COMPLETE
21,0.714391548375307,2026-02-25 13:27:19.688541,2026-02-25 13:28:35.316207,0 days 00:01:15.627666,0.3468052540632099,Bayesian,227,6,0.7511649655183991,0.028237169843526474,64,3.1003107329079946,2.2875755606734094,,3188,0.6470728224654926,0.7855089630068324,0.5001609565417338,0.9161822929828995,0.8216042907335787,0.3107896579654077,COMPLETE
22,0.713512010112347,2026-02-25 13:28:35.317887,2026-02-25 13:29:43.869277,0 days 00:01:08.551390,0.2643365543140507,Bayesian,227,6,0.5532092685638866,0.025765580402292355,55,3.061920694531145,2.720972004462601,,2840,0.6410923657203006,0.7851577047583579,0.4909538737124944,0.9235110774155505,0.8213435886536947,0.3300722170000987,COMPLETE
23,0.7130399619244494,2026-02-25 13:29:43.870794,2026-02-25 13:30:23.480038,0 days 00:00:39.609244,0.7401853379290175,Bayesian,184,7,0.10278639945367374,0.04269880927590896,75,2.7909956470796917,2.2178514368057893,,1248,0.6444680599834691,0.7854480565269323,0.4960690752101795,0.9195518490438884,0.8207043781822487,0.29511678679681747,COMPLETE
24,0.7145910773338269,2026-02-25 13:30:23.482006,2026-02-25 13:31:32.334920,0 days 00:01:08.852914,0.3199484315837708,Bayesian,144,6,2.8101381544610207,0.027504715273577205,66,7.002382971510138,2.3500437628674695,,2892,0.6428424607252973,0.7855830510420854,0.4934186801298233,0.9220790160896302,0.821448087341424,0.3037276981364445,COMPLETE
25,0.7140673754652394,2026-02-25 13:31:32.336977,2026-02-25 13:32:49.204913,0 days 00:01:16.867936,0.004792009463481128,Bayesian,155,5,3.0143615479585653,0.026618775312944643,68,7.3682313405868065,2.420604265345944,,3981,0.641173205573895,0.7856079262356108,0.4907871198568873,0.9244377053323225,0.8215798700622452,0.30752546562150784,COMPLETE
26,0.6978763947339407,2026-02-25 13:32:49.206463,2026-02-25 13:34:10.083441,0 days 00:01:20.876978,,MVS,199,6,0.7094485002363891,0.02062048527472376,84,6.016805105475799,2.7407911943108547,0.9760033421359315,3873,0.6463594497787677,0.7798971468417688,0.5028568752341701,0.9044730856709629,0.8124942590097329,0.39263016026226244,COMPLETE
27,0.7137191589233897,2026-02-25 13:34:10.084851,2026-02-25 13:35:58.342609,0 days 00:01:48.257758,0.29951186039854133,Bayesian,172,7,0.06220823273066528,0.011587522747984538,90,6.944295866368336,2.326615328992768,,3901,0.6514037835883841,0.7856530395733117,0.507010550996483,0.9107910032853171,0.821443714207102,0.32504188185890703,COMPLETE
28,0.7137727079896995,2026-02-25 13:35:58.344607,2026-02-25 13:37:10.347625,0 days 00:01:12.003018,0.34590307909563905,Bayesian,236,6,0.2062636471626572,0.031040681585914196,40,5.286161415509497,2.5848223307700766,,2992,0.6471164987966842,0.7860545690775227,0.4998622968879097,0.9173616376042456,0.821512771284254,0.33262143730406896,COMPLETE
29,0.7144259829742649,2026-02-25 13:37:10.349171,2026-02-25 13:38:13.928085,0 days 00:01:03.578914,0.016063093146534813,Bayesian,66,5,4.241164166907791,0.04642452650349349,68,6.196794741755697,2.109569085636627,,3060,0.6487309644670051,0.7860006077883739,0.5024746750543504,0.9150871872630781,0.8221110296755008,0.29670754685265993,COMPLETE
